,nome,porcentagem_desconto,preco,tipo
0,resident evil 4,12,218.99,padrao
1,star wars empire at war  gold pack,0,37.99,padrao
2,lego indiana jones the original adventures,0,37.99,padrao
3,lego indiana jones 2 the adventure continues,0,37.99,padrao
4,star wars the force unleashed ii,0,37.99,padrao
5,tekken 7,85,19.48,padrao
6,heroes of might  magic iii hd edition,0,44.99,padrao
7,resident evil 4  deluxe edition,12,262.99,padrao
8,lego pirates of the caribbean the video game,0,37.99,padrao
9,star wars  the force unleashed ultimate sith edition,0,37.99,padrao
10,star wars classics collection,0,72.99,padrao
11,star wars jedi knight collection,0,72.65,padrao
12,lego harry potter years 57,0,89.99,padrao
13,mortal kombat 11 kombat pack 1,90,5.99,dlc
14,batman arkham origins  season pass,0,36.99,dlc
15,resident evil 2  biohazard re2,0,89.99,padrao
16,marvels spiderman remastered,0,249.9,padrao
17,riot points  gift card digital 50 reais,0,50.0,padrao
18,the last of us  part i  digital deluxe edition,10,268.9,padrao
19,katana zero,0,28.99,padrao
20,resident evil hd remaster,0,39.99,padrao
21,marvels spiderman miles morales,0,199.9,padrao
22,resident evil 4 (2005),0,39.99,padrao
23,bagdex  standard,0,35.0,prevenda
24,xbox game pass ultimate  1 mes,0,44.99,padrao
25,scribblenauts unlimited,0,89.99,padrao
26,xbox  cartao presente digital 5 reais,0,5.0,padrao
27,devil may cry 5 + vergil,0,89.99,padrao
28,lego city undercover,0,89.99,padrao
29,lego marvel vingadores deluxe edition,0,129.99,padrao
30,middleearth shadow of war,0,229.99,padrao
31,xbox  cartao presente digital 50 reais,0,50.0,padrao
32,xbox  cartao presente digital 60 reais,0,60.0,padrao
33,f.e.a.r. 3,0,89.99,padrao
34,dragon ball xenoverse  bundle,85,18.89,pacote
35,middleearth shadow of mordor  game of the year edition,0,89.99,padrao
36,gris,0,32.99,padrao
37,god of war,0,199.9,padrao
38,days gone,0,199.9,padrao
39,horizon zero dawn complete edition,0,199.9,padrao
40,resident evil 2  biohazard re2  deluxe edition,0,109.99,padrao
41,resident evil 7 biohazard gold edition,0,87.08,padrao
42,the last of us  part i,10,223.99,padrao
43,xbox  cartao presente digital 200 reais,0,200.0,padrao
44,mortal kombat 11,90,22.99,padrao
45,mortal kombat xl,0,129.99,pacote
46,mortal kombat x,90,8.99,padrao
47,euro truck simulator 2,0,39.99,padrao
48,lego marvel super heroes,0,89.99,padrao
49,xbox  cartao presente digital 100 reais,0,100.0,padrao
50,doom,0,61.5,padrao
51,lego marvel super heroes 2 deluxe edition,0,159.99,padrao
52,star wars collection,0,169.99,padrao
53,resident evil 3,0,129.99,padrao
54,riot points  gift card digital 100 reais,0,100.0,padrao
55,street fighter v,0,39.99,padrao
56,xbox  cartao presente digital 25 reais,0,25.0,padrao
57,scribblenauts unmasked a dc comics adventures,0,36.99,padrao
58,resident evil 0,0,39.99,padrao
59,f.e.a.r. 2 project origin,0,69.99,padrao
60,lego batman,0,89.99,padrao
61,mortal kombat 11 ultimate,80,55.99,padrao
62,uncharted™ legacy of thieves collection,0,199.9,padrao
63,riot points  gift card digital 20 reais,0,20.0,padrao
64,lego dc supervillains  deluxe edition,0,254.99,padrao
65,xbox  cartao presente digital 10 reais,0,10.0,padrao
66,dragon ball xenoverse,85,11.99,padrao
67,tales of vesperia definitive edition,0,139.9,padrao
68,dragon ball z kakarot,75,39.97,padrao
69,the lego ninjago movie video game,0,89.99,padrao
70,lego batman 2 dc super heroes,0,89.99,padrao
71,crypt of the necrodancer,0,27.99,padrao
72,naruto shippuden ultimate ninja storm 4  road to boruto,77,28.09,padrao
73,the lego movie  videogame,0,89.99,padrao
74,dragon ball z kakarot  deluxe edition,75,62.47,padrao
75,lego star wars the force awakens,0,89.99,padrao
76,bagdex  treinador,0,80.0,prevenda
77,ape out,0,27.99,padrao
78,hogwarts legacy,0,249.99,padrao
79,hotline miami,0,16.99,padrao
80,xbox  cartao presente digital 20 reais,0,20.0,padrao
81,tom clancys rainbow six  siege  standard edition,0,59.99,padrao
82,fallout 4,0,59.99,padrao
83,middleearth shadow of war  expansion pass,0,69.99,dlc
84,lego batman 3 beyond gotham,0,89.99,padrao
85,lego star wars the force awakens  deluxe edition,0,129.99,pacote
86,devil may cry 4 ediçao especial,0,49.99,padrao
87,ni no kuni ii revenant kingdom  the princes edition,0,219.9,padrao
88,naruto shippuden ultimate ninja storm revolution,85,8.39,padrao
89,resident evil revelations,0,59.99,padrao
90,enigma do medo,9,49.99,prevenda
91,xbox  cartao presente digital 70 reais,0,70.0,padrao
92,xbox  cartao presente digital 40 reais,0,40.0,padrao
